date,open,high,low,close,volume,amount
2026-02-24,372.64,373.5,361.95,361.95,22695131,8316534692.71
2026-02-25,363.69,366.6,360.1,362.18,18716639,6802110618.55
2026-02-26,356.05,358.2,343.5,346.0,43541381,15108143010.07
2026-02-27,347.12,348.94,342.01,342.01,25446620,8775054149.27
2026-03-02,341.0,344.9,336.68,340.22,28351326,9643254983.63
2026-03-03,346.33,354.35,344.03,344.07,40007479,13919957237.98
2026-03-04,341.1,342.02,334.2,338.9,25080441,8468604901.53
2026-03-05,344.58,353.85,342.66,350.25,31006068,10819502021.19
2026-03-06,349.0,357.02,344.66,354.77,20963113,7388868682.39
2026-03-09,348.84,359.85,345.06,357.5,31797613,11217996825.3
2026-03-10,375.0,379.77,366.5,376.3,50741728,19049080512.74
2026-03-11,379.58,403.55,378.98,396.8,57598685,22642696276.06
2026-03-12,400.0,400.9,392.7,395.5,29150375,11537671606.62
2026-03-13,393.88,403.99,393.8,397.0,35582639,14201304444.44
2026-03-16,401.77,413.17,398.0,408.4,37352104,15195015004.76
2026-03-17,415.78,420.0,404.56,405.0,35980678,14787230789.87
2026-03-18,405.36,406.0,396.77,402.02,26529996,10653633584.46
2026-03-19,401.94,414.0,400.0,400.5,29286635,11867380765.39
2026-03-20,405.08,422.08,400.13,413.0,53729677,22252017693.22
2026-03-23,417.33,417.36,398.75,401.99,44614145,18193336487.17
2026-03-24,405.0,411.9,388.0,396.99,36410525,14439124609.63
2026-03-25,393.0,400.5,387.8,397.81,26752828,10553996246.79
2026-03-26,393.84,413.72,392.0,402.5,26763697,10811439764.3
2026-03-27,406.12,418.33,401.73,416.18,30258043,12465856864.08
2026-03-30,413.0,418.85,405.6,413.0,25348419,10440376424.48
2026-03-31,413.0,416.95,401.58,401.7,24925645,10159878345.8
2026-04-01,409.73,409.87,396.0,405.71,23170073,9384266504.41
2026-04-02,407.9,411.99,397.2,401.17,22305638,8988161794.19
2026-04-03,400.0,400.8,385.13,386.46,24751501,9640031385.12
2026-04-07,389.98,393.2,381.49,384.59,17257622,6675632984.29
2026-04-08,396.5,397.65,388.22,391.3,36418443,14315333338.28
2026-04-09,394.1,394.28,386.66,389.99,25955199,10132744607.16
2026-04-10,394.0,419.0,392.68,416.0,50788702,20752496341.08
2026-04-13,418.0,433.33,416.0,427.13,41239924,17625505878.02
2026-04-14,421.5,432.49,414.4,430.79,44220826,18663656302.9
2026-04-15,438.88,439.46,427.07,431.0,37353628,16122379460.43
2026-04-16,441.0,460.0,433.02,453.98,63506218,28517416468.4
2026-04-17,455.96,457.64,441.01,444.2,36535848,16290232435.5
2026-04-20,433.0,437.9,426.01,432.5,52927821,22768028849.94
2026-04-21,435.0,450.13,425.1,447.6,57774562,25412275748.93
2026-04-22,441.01,447.97,433.13,436.35,46025432,20173924647.54
2026-04-23,443.5,443.6,435.0,438.9,35430966,15566836621.18
2026-04-24,442.0,448.45,438.0,444.9,39542497,17517374359.15
2026-04-27,444.63,448.76,433.8,434.88,33061283,14514326132.36
2026-04-28,426.19,433.3,423.0,427.67,35012113,14992134063.18
2026-04-29,432.0,445.15,428.0,445.0,37633560,16473164317.55
2026-04-30,446.5,449.5,436.0,436.0,29812094,13127297981.61
2026-05-06,457.5,465.88,448.63,460.0,47372718,21679900613.27
2026-05-07,468.75,468.75,447.0,451.64,38621274,17551196925.09
2026-05-08,449.0,455.5,436.2,437.0,36604851,16224287222.18
2026-05-11,440.0,450.51,435.1,446.11,34190101,15198345088.49
2026-05-12,446.59,446.85,429.29,431.25,34151497,14869224127.69
2026-05-13,431.01,436.58,427.08,434.05,31685823,13668347813.82
2026-05-14,449.38,450.45,427.0,427.0,34704614,15157645640.1
2026-05-15,428.08,431.5,421.0,423.6,29704893,12638150861.85
2026-05-18,420.58,422.9,414.0,417.23,28498347,11894351176.41
2026-05-19,415.86,419.9,406.8,417.92,26087668,10805349153.43
2026-05-20,417.0,422.99,412.66,414.75,28119031,11734883867.81
2026-05-21,419.87,427.62,411.42,411.63,33867172,14239107292.91
2026-05-22,414.7,416.5,410.0,411.16,27788381,11472585703.44
2026-05-25,411.28,414.5,400.0,402.88,38197710,15479408961.51
2026-05-26,406.19,408.77,400.36,402.5,35062703,14152427064.2
2026-05-27,413.92,428.9,411.29,414.8,53372888,22373358897.11
2026-05-28,420.0,420.58,406.2,415.68,32777149,13502296106.57
2026-05-29,423.0,430.86,416.55,424.0,49811891,21139031903.92
2026-06-01,432.1,438.24,418.18,420.1,38600452,16554495936.48
2026-06-02,425.0,437.75,423.0,433.89,38798160,16719046201.41
2026-06-03,437.0,437.0,420.1,426.42,38552608,16460790912.52
2026-06-04,426.42,426.9,407.18,408.2,43115462,17788218035.16
2026-06-05,407.89,412.65,402.7,403.0,28738930,11711423569.5
2026-06-08,395.8,402.68,390.7,393.02,28652636,11335280869.7
2026-06-09,399.99,401.87,388.0,399.5,27735147,10926469616.65
2026-06-10,395.28,399.0,385.12,388.5,24435715,9535581227.17
2026-06-11,386.98,391.34,380.03,382.2,26865447,10301875915.65
2026-06-12,389.99,399.54,383.3,394.85,41420838,16278999883.4
2026-06-15,402.0,407.9,393.41,398.1,34074882,13613555701.18
2026-06-16,408.88,409.02,398.5,403.53,34839262,14107808734.81
2026-06-17,400.0,403.3,395.58,399.0,25009264,9965557905.66
2026-06-18,400.39,409.89,389.92,391.55,38548105,15327443707.02
2026-06-22,393.0,413.33,386.0,408.98,59464844,23926025745.97
2026-06-23,411.0,414.04,390.73,392.51,37374094,14957779394.11
